date,code,direction,price,quantity,sell_type,pnl,pnl_pct,days_held,commission,stamp_tax
2024-05-14,603116,buy,4.736,27500,,,,,32.56,0.0
2024-05-15,600448,sell,2.52,50300,trailing_stop,1287.98,0.0103,1.0,31.67,63.35
2024-05-15,600202,sell,4.88,26200,hard_stop,2386.93,0.019,1.0,31.95,63.9
2024-05-15,603116,sell,4.844,27500,trailing_stop,2796.06,0.0215,1.0,33.29,66.57
2024-05-15,600099,buy,8.515,15100,,,,,32.14,0.0
2024-05-15,603315,buy,12.37,10400,,,,,32.16,0.0
2024-05-15,603682,buy,4.056,32000,,,,,32.45,0.0
2024-05-16,600099,sell,8.312,15100,hard_stop,-3223.63,-0.0251,1.0,31.36,62.72
2024-05-16,603315,sell,11.999,10400,hard_stop,-4015.41,-0.0312,1.0,31.18,62.36
2024-05-16,603682,sell,4.253,32000,trailing_stop,6153.84,0.0474,1.0,34.01,68.02
2024-05-16,600202,buy,5.072,25300,,,,,32.08,0.0
2024-05-16,600448,buy,2.571,50100,,,,,32.21,0.0
2024-05-16,600173,buy,4.379,29400,,,,,32.19,0.0
2024-05-17,600202,sell,5.029,25300,hard_stop,-1231.01,-0.0096,1.0,31.8,63.59
2024-05-17,600173,sell,4.495,29400,trailing_stop,3248.46,0.0252,1.0,33.02,66.05
2024-05-17,603226,buy,4.252,30400,,,,,32.32,0.0
2024-05-17,600561,buy,4.592,28300,,,,,32.49,0.0
2024-05-20,603226,sell,4.15,30400,hard_stop,-3262.25,-0.0252,1.0,31.52,63.05
2024-05-20,600561,sell,5.25,28300,trailing_stop,18427.39,0.1418,1.0,37.13,74.25
2024-05-20,600778,buy,4.632,29600,,,,,34.28,0.0
2024-05-20,600128,buy,7.412,18500,,,,,34.28,0.0
2024-05-21,600448,sell,2.52,50100,hard_stop,-2727.15,-0.0212,3.0,31.55,63.09
2024-05-21,600106,buy,6.251,20100,,,,,31.41,0.0
2024-05-22,600128,sell,7.165,18500,soft_stop,-4742.5,-0.0346,1.0,33.12,66.24
2024-05-22,600448,buy,2.531,52500,,,,,33.22,0.0
2024-05-23,600778,sell,4.57,29600,hard_stop,-2013.56,-0.0147,3.0,33.8,67.6
2024-05-23,600106,sell,6.09,20100,hard_stop,-3379.97,-0.0269,2.0,30.59,61.18
2024-05-23,600561,buy,4.712,27300,,,,,32.16,0.0
2024-05-23,603699,buy,18.599,6900,,,,,32.08,0.0
2024-05-23,600448,sell,2.48,52500,hard_stop,-2854.11,-0.0215,1.0,32.53,65.07
2024-05-23,600719,buy,8.994,14400,,,,,32.38,0.0
2024-05-24,600561,sell,4.571,27300,hard_stop,-4015.36,-0.0312,1.0,31.18,62.36
2024-05-24,600719,sell,9.74,14400,trailing_stop,10560.0,0.0815,1.0,35.05,70.09
2024-05-24,605081,buy,13.017,10200,,,,,33.19,0.0
2024-05-24,600757,buy,7.162,18500,,,,,33.12,0.0
2024-05-27,605081,sell,12.626,10200,hard_stop,-4143.98,-0.0312,1.0,32.18,64.36
2024-05-27,605028,buy,15.19,8400,,,,,31.9,0.0
2024-05-28,605028,sell,15.663,8400,trailing_stop,3815.41,0.0299,1.0,32.88,65.75
